trans_id,buffercheck,street_direction,street_name,street_type,second_street_direction,row_id_1,zone_1,buffer_1,status_1,odd_even_1,ar_low_1,ar_high_1,row_id_2,zone_2,buffer_2,status_2,odd_even_2,ar_low_2,ar_high_2,row_id_3,zone_3,buffer_3,status_3,odd_even_3,ar_low_3,ar_high_3,row_id_4,zone_4,buffer_4,status_4,odd_even_4,ar_low_4,ar_high_4,row_id_5,zone_5,buffer_5,status_5,odd_even_5,ar_low_5,ar_high_5,row_id_6,zone_6,buffer_6,status_6,odd_even_6,ar_low_6,ar_high_6,geom,geomtext
150872,Zone Only,W,WESTGATE,TER,,3035,5,Zone,ACTIVE,E,1300,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E61000000100000001020000000400000031D02A2936EA55C008C0FC7DDCEF4440F91742B536EA55C0AA2508DDDCEF4440CDD41C8F3BEA55C0B812EDDFDCEF44401BFEB12B3DEA55C0C6689DE5DDEF4440,"MULTILINESTRING((-87.6595557134722 41.8739163860446,-87.6595891137548 41.8739277162343,-87.6598851949268 41.8739280612548,-87.6599835622987 41.8739592569923))"
137250,Zone Only,E,93RD,ST,,256,893,Zone,ACTIVE,E,3200,3298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000005000000321E4F6CEAE255C0FE3296C5FDDC44402FCBEB34E6E255C0D94E8DF6FDDC4440FD36534FE4E255C001D80CCEFDDC44400D8B3525E3E255C0F7D71E88FDDC44401EAFDAFDE0E255C0FC7700CAFCDC4440,"MULTILINESTRING((-87.5455580494534 41.7264945014376,-87.5453007033036 41.7265003385525,-87.5451849281926 41.7264955103601,-87.5451138518221 41.7264871740917,-87.5449823985659 41.7264645101822))"
114783,Zone Only,W,COULTER,ST,,1567,109,Zone,ACTIVE,E,2100,2198,4889,109,Zone,ACTIVE,O,2101,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000006000000C485139367EB55C0694BD4619CEC44403D5F8D7676EB55C0138FFE0791EC4440E18BC58476EB55C051A427FD90EC4440B0050AB180EB55C04077C92A89EC44408DB73FE688EB55C0E9DC3FDA82EC4440BF5960498FEB55C089267DF37DEC4440,"MULTILINESTRING((-87.6781966868066 41.848522404346,-87.6791054134928 41.8481760018314,-87.6791088036694 41.8481747096599,-87.6797297094224 41.8479360088081,-87.6802306768643 41.8477433025199,-87.6806205216335 41.8475937234007))"
114782,Zone Only,W,COULTER,ST,,8197,109,Zone,ACTIVE,E,2242,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000060000007B222444A3EB55C0215460B76EEC4440AACD246EA3EB55C0E0A72B976EEC4440B90576DFA9EB55C0E9AE99A669EC4440867B72D1ABEB55C0EF0FF62968EC4440E2897A3DB1EB55C07DE5DA0964EC4440D157760DB7EB55C0789D50F05EEC4440,"MULTILINESTRING((-87.6818399765852 41.8471287937503,-87.6818499907883 41.8471249545253,-87.6822432186663 41.8469742060095,-87.6823619478219 41.8469288302875,-87.6826928803125 41.8468029326277,-87.6830476432508 41.8466473001126))"
110550,Zone Only,W,LELAND,AVE,,5557,92,Zone,ACTIVE,E,2400,2458,2051,92,Zone,ACTIVE,O,2401,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000008000000CEFC851716EC55C0F53AFFBBBEFB44405994070E19EC55C0D9B53F81BFFB44407EC95B0120EC55C05326ED65BFFB44406AC5E8C420EC55C04CFEEB62BFFB4440F299943523EC55C0E282E458BFFB44406EB01F0B26EC55C0BACCB04DBFFB4440F275DC0E27EC55C0DD3EB249BFFB44404FD607232AEC55C0E3CF393CBFFB4440,"MULTILINESTRING((-87.6888483818504 41.9667582508318,-87.6890292238253 41.9667817650877,-87.689453448902 41.9667785079916,-87.6895000718265 41.9667781498252,-87.6896490050492 41.9667769542482,-87.6898219880547 41.966775618866,-87.6898839142739 41.9667751427021,-87.6900718285117 41.9667735369001))"
114780,Zone Only,W,25TH,ST,,8647,109,Zone,ACTIVE,E,2312,2338,8660,109,Zone,ACTIVE,O,2301,2331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000002000000D157760DB7EB55C0789D50F05EEC44408E1E15D9CEEB55C01A2BB3665DEC4440,"MULTILINESTRING((-87.6830476432508 41.8466473001126,-87.6844999986881 41.8466003775449))"
141939,Zone Only,S,NORMAL,AVE,,2308,159,Zone,ACTIVE,E,9514,9558,6630,159,Zone,ACTIVE,O,9515,9557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000060000008E0365D1B2E855C09F7401113EDC4440FB51A9C2B2E855C036106FDE39DC4440FD1B18A5B2E855C0878754702FDC4440AD9FA8A2B2E855C0109872942EDC4440B3A2CE86B2E855C046FF13BB24DC44404B4D8877B2E855C06C25036820DC4440,"MULTILINESTRING((-87.635914181372 41.7206441170795,-87.6359106687086 41.7205160181333,-87.6359036193316 41.7201977169744,-87.6359030386654 41.7201715049306,-87.6358963983464 41.7198709342616,-87.6358927565645 41.7197389617312))"
110558,Zone Only,N,RICHMOND,ST,,3339,132,Zone,ACTIVE,E,4300,4344,6227,132,Zone,ACTIVE,O,4301,4343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000009000000CF51C3D9EEEC55C0A517355BCDFA44404578C8EDEEEC55C0C1096DBED2FA444007322812EFEC55C053FCDF47DCFA444035E7A43BEFEC55C04641C7CCE5FA44401D14EB55EFEC55C0D93EEE32EDFA44401B458A7CEFEC55C0220BC2C9F6FA4440DBB0B097EFEC55C0D50C48C3FCFA44408760AEB1EFEC55C0A7E2366F02FB4440576338C9EFEC55C026D9167F09FB4440,"MULTILINESTRING((-87.7020782859247 41.959391976284,-87.7020830590928 41.9595563919461,-87.7020917313131 41.9598474353485,-87.7021016226179 41.960137936871,-87.702107886857 41.9603637374218,-87.7021170950215 41.9606563756445,-87.7021235681054 41.9608387090499,-87.7021297648335 41.9610117929454,-87.7021353769936 41.9612273084224))"
139871,Zone Only,S,GREENWOOD,AVE,,8263,1698,Zone,ACTIVE,O,9319,9355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000004000000CF0A6D023AE655C0DCC17D9BCEDC4440060CDED139E655C0F68DAEA0BDDC4440A6BF0CB839E655C0766E1153B3DC44402488E8A839E655C001F4A6C1ACDC4440,"MULTILINESTRING((-87.5972906174531 41.7250551570939,-87.5972790401866 41.7245369770352,-87.5972728847979 41.7242225489726,-87.5972692747897 41.724022108574))"
147268,Zone Only,S,LEAVITT,ST,,2035,1136,Zone,ACTIVE,E,1700,1798,5650,1136,Zone,ACTIVE,O,1701,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000004000000E7021A0B94EB55C0F16FCE17D5ED44403789590A94EB55C0FDE11E94D4ED44406C6BBAFA93EB55C0280F30E4C9ED4440D2112AE393EB55C0AEBC6902C6ED4440,"MULTILINESTRING((-87.6809108499543 41.8580655820841,-87.6809106706977 41.8580498839183,-87.6809069462303 41.8577237353005,-87.6809013281666 41.857605268125))"
