ROW ID,STATUS,ZONE,ODD_EVEN,ADDRESS RANGE - LOW,ADDRESS RANGE - HIGH,STREET DIRECTION,STREET NAME,STREET TYPE,SECOND STREET DIRECTION,SPONSOR WARD,BUFFER,WARD - LOW,WARD - HIGH
8682,ACTIVE,29,E,5800,5826,W,54TH,PL,,23,N,23,23
8681,ACTIVE,29,O,6401,6401,W,57TH,ST,,13,N,23,23
8663,ACTIVE,1810,E,2400,2498,W,40TH,ST,,12,N,12,12
8662,ACTIVE,1811,E,5300,5354,W,DRUMMOND,PL,,31,N,31,31
8661,ACTIVE,1808,O,1601,1633,S,CARPENTER,ST,,25,N,25,25
8660,ACTIVE,109,O,2301,2331,W,25TH,ST,,25,N,25,25
8659,ACTIVE,1809,O,4101,4199,W,25TH,PL,,22,N,22,22
8658,ACTIVE,1804,E,100,198,E,16TH,ST,,2,N,2,2
8657,ACTIVE,1813,E,3022,3070,N,CENTRAL PARK,AVE,,35,N,35,35
8656,ACTIVE,1805,E,3000,3098,N,HAMLIN,AVE,,30,N,30,30
8655,ACTIVE,1803,E,6714,6758,S,KENNETH,AVE,,13,N,13,13
8654,ACTIVE,1813,O,3021,3069,N,CENTRAL PARK,AVE,,35,N,35,35
8653,ACTIVE,1811,O,5301,5359,W,DRUMMOND,PL,,31,N,31,31
8652,ACTIVE,1806,O,3215,3257,N,KOSTNER,AVE,,30,N,31,31
8651,ACTIVE,1805,O,3001,3099,N,HAMLIN,AVE,,30,N,30,30
8650,ACTIVE,1808,E,1600,1632,S,CARPENTER,ST,,25,N,25,25
8649,ACTIVE,1807,O,1515,1539,W,19TH,ST,,25,N,25,25
8648,ACTIVE,1807,E,1514,1540,W,19TH,ST,,25,N,25,25
8647,ACTIVE,109,E,2312,2338,W,25TH,ST,,25,N,25,25
8646,ACTIVE,1803,O,6715,6759,S,KENNETH,AVE,,13,N,13,13
8645,ACTIVE,1810,O,2401,2499,W,40TH,ST,,12,N,12,12
8644,ACTIVE,1809,E,4100,4198,W,25TH,PL,,22,N,22,22
8643,ACTIVE,1806,E,3214,3258,N,KOSTNER,AVE,,30,N,31,31
8642,ACTIVE,109,O,1801,1859,S,ALLPORT,ST,,25,N,25,25
8641,ACTIVE,109,E,1800,1858,S,ALLPORT,ST,,25,N,25,25
8638,ACTIVE,56,E,1118,1448,W,MORSE,AVE,,49,N,49,49
8637,ACTIVE,1782,E,1400,1498,S,ROCKWELL,ST,,31,N,28,28
8636,ACTIVE,1797,O,1201,1299,W,VAN BUREN,ST,,28,N,2,2
8635,ACTIVE,1798,O,1601,1659,S,THROOP,ST,,25,N,25,25
8634,ACTIVE,1693,E,4334,4398,W,49TH,ST,,14,N,23,23
8633,ACTIVE,56,O,1201,1209,W,PRATT,BLVD,,,N,49,49
8632,ACTIVE,56,O,6407,6759,N,NEWGARD,AVE,,,N,40,40
8631,ACTIVE,56,E,6400,6934,N,SHERIDAN,RD,,49,N,40,49
8630,ACTIVE,1540,E,1514,1540,W,18TH,PL,,25,N,25,25
8629,ACTIVE,56,E,6746,6930,N,GREENVIEW,AVE,,,N,40,49
8628,ACTIVE,56,E,6800,6934,N,LAKEWOOD,AVE,,,N,49,49
8627,ACTIVE,56,O,6801,6929,N,WAYNE,AVE,,,N,49,49
8626,ACTIVE,56,E,6800,6928,N,WAYNE,AVE,,,N,49,49
8625,ACTIVE,56,O,1125,1445,W,FARWELL,AVE,,49,N,49,49
8624,ACTIVE,56,O,1125,1447,W,MORSE,AVE,,49,N,49,49
8623,ACTIVE,1798,E,1612,1658,S,THROOP,ST,,25,N,25,25
8622,ACTIVE,56,O,1401,1459,W,ALBION,AVE,,,N,40,40
8621,ACTIVE,56,O,1401,1457,W,ARTHUR,AVE,,,N,40,40
